* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_L.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_L.wav
* Measurement: captured_sweep_L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
184.570312 65.289 -25.2992
184.936523 65.334 -24.7820
185.302734 65.429 -24.5706
185.668945 65.518 -24.7852
186.035156 65.555 -25.2030
186.401367 65.544 -25.4927
186.767578 65.527 -25.4866
187.133789 65.547 -25.3036
187.500000 65.613 -25.2319
187.866211 65.698 -25.4746
188.232422 65.763 -25.9938
188.598633 65.789 -26.5636
188.964844 65.791 -26.9470
189.331055 65.805 -27.0588
189.697266 65.865 -27.0189
190.063477 65.978 -27.0613
190.429688 66.124 -27.3730
190.795898 66.270 -27.9912
191.162109 66.390 -28.8147
191.528320 66.474 -29.6851
191.894531 66.525 -30.4662
192.260742 66.556 -31.0829
192.626953 66.575 -31.5145
192.993164 66.589 -31.7622
193.359375 66.604 -31.8245
193.725586 66.628 -31.7017
194.091797 66.671 -31.4233
194.458008 66.743 -31.0701
194.824219 66.846 -30.7634
195.190430 66.971 -30.6241
195.556641 67.103 -30.7263
195.922852 67.222 -31.0739
196.289062 67.311 -31.6013
196.655273 67.361 -32.1908
197.021484 67.376 -32.7017
197.387695 67.375 -33.0223
197.753906 67.384 -33.1399
198.120117 67.430 -33.1868
198.486328 67.516 -33.3987
198.852539 67.614 -33.9691
199.218750 67.678 -34.8958
199.584961 67.673 -35.9353
199.951172 67.599 -36.6997
200.317383 67.498 -36.8611
200.683594 67.447 -36.3872
201.049805 67.506 -35.6443
201.416016 67.674 -35.1938
201.782227 67.890 -35.4081
202.148438 68.076 -36.2638
202.514648 68.185 -37.4380
202.880859 68.210 -38.5298
203.247070 68.183 -39.2454
203.613281 68.151 -39.4919
203.979492 68.157 -39.3757
204.345703 68.224 -39.1335
204.711914 68.352 -39.0482
205.078125 68.517 -39.3682
205.444336 68.674 -40.2195
205.810547 68.772 -41.5261
206.176758 68.769 -42.9845
206.542969 68.663 -44.1390
206.909180 68.500 -44.5685
207.275391 68.371 -44.1587
207.641602 68.355 -43.2841
208.007812 68.465 -42.6171
208.374023 68.631 -42.6194
208.740234 68.763 -43.2271
209.106445 68.816 -43.9824
209.472656 68.815 -44.4039
209.838867 68.831 -44.3397
210.205078 68.926 -44.0922
210.571289 69.092 -44.1635
210.937500 69.268 -44.8186
211.303711 69.381 -45.8934
211.669922 69.408 -46.9509
212.036133 69.376 -47.5825
212.402344 69.350 -47.6609
212.768555 69.383 -47.4033
213.134766 69.484 -47.1813
213.500977 69.621 -47.2388
213.867188 69.758 -47.5812
214.233398 69.876 -48.0820
214.599609 69.978 -48.6427
214.965820 70.069 -49.2540
215.332031 70.145 -49.9381
215.698242 70.196 -50.6591
216.064453 70.219 -51.3064
216.430664 70.228 -51.7706
216.796875 70.246 -52.0433
217.163086 70.292 -52.2435
217.529297 70.363 -52.5378
217.895508 70.441 -53.0211
218.261719 70.505 -53.6644
218.627930 70.545 -54.3605
218.994141 70.565 -55.0083
219.360352 70.577 -55.5664
219.726562 70.588 -56.0464
220.092773 70.603 -56.4750
220.458984 70.623 -56.8698
220.825195 70.649 -57.2467
221.191406 70.682 -57.6329
221.557617 70.716 -58.0527
221.923828 70.745 -58.4948
222.290039 70.766 -58.8999
222.656250 70.785 -59.2008
223.022461 70.818 -59.3894
223.388672 70.877 -59.5535
223.754883 70.961 -59.8329
224.121094 71.052 -60.3204
224.487305 71.127 -60.9928
224.853516 71.174 -61.7275
225.219727 71.196 -62.3900
225.585938 71.211 -62.9209
225.952148 71.235 -63.3651
226.318359 71.271 -63.8210
226.684570 71.311 -64.3560
227.050781 71.341 -64.9600
227.416992 71.357 -65.5665
227.783203 71.363 -66.1101
228.149414 71.368 -66.5715
228.515625 71.382 -66.9812
228.881836 71.406 -67.3909
229.248047 71.437 -67.8424
229.614258 71.472 -68.3545
229.980469 71.505 -68.9236
230.346680 71.533 -69.5308
230.712891 71.556 -70.1475
231.079102 71.576 -70.7532
231.445312 71.600 -71.3540
231.811523 71.629 -71.9922
232.177734 71.660 -72.7202
232.543945 71.681 -73.5535
232.910156 71.680 -74.4385
233.276367 71.655 -75.2705
233.642578 71.618 -75.9604
234.008789 71.585 -76.5020
234.375000 71.571 -76.9858
234.741211 71.571 -77.5347
235.107422 71.569 -78.2061
235.473633 71.548 -78.9490
235.839844 71.504 -79.6479
236.206055 71.448 -80.2178
236.572266 71.396 -80.6680
236.938477 71.354 -81.0854
237.304688 71.313 -81.5444
237.670898 71.259 -82.0273
238.037109 71.184 -82.4292
238.403320 71.100 -82.6404
238.769531 71.028 -82.6409
239.135742 70.984 -82.5276
239.501953 70.970 -82.4482
239.868164 70.970 -82.4985
240.234375 70.968 -82.6760
240.600586 70.952 -82.9121
240.966797 70.923 -83.1372
241.333008 70.882 -83.3154
241.699219 70.833 -83.4268
242.065430 70.775 -83.4331
242.431641 70.716 -83.2778
242.797852 70.669 -82.9336
243.164062 70.653 -82.4575
243.530273 70.678 -81.9956
243.896484 70.734 -81.7114
244.262695 70.795 -81.6851
244.628906 70.837 -81.8660
244.995117 70.845 -82.1028
245.361328 70.823 -82.2246
245.727539 70.792 -82.1255
246.093750 70.778 -81.8198
246.459961 70.800 -81.4360
246.826172 70.856 -81.1492
247.192383 70.927 -81.0801
247.558594 70.988 -81.2236
247.924805 71.018 -81.4497
248.291016 71.020 -81.5728
248.657227 71.017 -81.4600
249.023438 71.039 -81.1299
249.389648 71.110 -80.7622
249.755859 71.223 -80.5889
250.122070 71.347 -80.7393
250.488281 71.450 -81.1611
250.854492 71.515 -81.6680
251.220703 71.549 -82.0649
251.586914 71.577 -82.2649
251.953125 71.623 -82.3279
252.319336 71.694 -82.3945
252.685547 71.778 -82.5708
253.051758 71.859 -82.8589
253.417969 71.926 -83.1792
253.784180 71.985 -83.4495
254.150391 72.048 -83.6499
254.516602 72.122 -83.8318
254.882812 72.208 -84.0723
255.249023 72.296 -84.4216
255.615234 72.374 -84.8765
255.981445 72.436 -85.3899
256.347656 72.478 -85.8965
256.713867 72.504 -86.3337
257.080078 72.522 -86.6650
257.446289 72.545 -86.8982
257.812500 72.578 -87.0881
258.178711 72.623 -87.3125
258.544922 72.670 -87.6179
258.911133 72.707 -87.9790
259.277344 72.731 -88.3125
259.643555 72.752 -88.5432
260.009766 72.790 -88.6838
260.375977 72.854 -88.8511
260.742188 72.937 -89.1892
261.108398 73.016 -89.7520
261.474609 73.067 -90.4458
261.840820 73.087 -91.0862
262.207031 73.094 -91.5225
262.573242 73.119 -91.7537
262.939453 73.182 -91.9392
263.305664 73.277 -92.2803
263.671875 73.378 -92.8711
264.038086 73.456 -93.6423
264.404297 73.502 -94.4290
264.770508 73.527 -95.0889
265.136719 73.550 -95.5859
265.502930 73.586 -95.9819
265.869141 73.634 -96.3640
266.235352 73.689 -96.7729
266.601562 73.744 -97.1956
266.967773 73.800 -97.6106
267.333984 73.861 -98.0310
267.700195 73.927 -98.4978
268.066406 73.992 -99.0396
268.432617 74.049 -99.6431
268.798828 74.095 -100.2661
269.165039 74.136 -100.8818
269.531250 74.175 -101.5046
269.897461 74.212 -102.1716
270.263672 74.241 -102.8979
270.629883 74.253 -103.6436
270.996094 74.249 -104.3308
271.362305 74.239 -104.8926
271.728516 74.237 -105.3203
272.094727 74.255 -105.6729
272.460938 74.297 -106.0413
272.827148 74.357 -106.5020
273.193359 74.426 -107.0935
273.559570 74.494 -107.8179
273.925781 74.552 -108.6528
274.291992 74.594 -109.5540
274.658203 74.615 -110.4556
275.024414 74.618 -111.2849
275.390625 74.613 -111.9917
275.756836 74.611 -112.5779
276.123047 74.621 -113.0994
276.489258 74.640 -113.6265
276.855469 74.662 -114.1948
277.221680 74.680 -114.7869
277.587891 74.693 -115.3584
277.954102 74.708 -115.8909
278.320312 74.731 -116.4197
278.686523 74.763 -117.0151
279.052734 74.795 -117.7280
279.418945 74.814 -118.5444
279.785156 74.814 -119.3931
280.151367 74.795 -120.1870
280.517578 74.771 -120.8770
280.883789 74.752 -121.4746
281.250000 74.747 -122.0337
281.616211 74.753 -122.6106
281.982422 74.769 -123.2393
282.348633 74.788 -123.9280
282.714844 74.806 -124.6741
283.081055 74.821 -125.4688
283.447266 74.829 -126.2903
283.813477 74.828 -127.1030
284.179688 74.822 -127.8706
284.545898 74.816 -128.5874
284.912109 74.816 -129.2898
285.278320 74.818 -130.0327
285.644531 74.815 -130.8403
286.010742 74.794 -131.6685
286.376953 74.756 -132.4258
286.743164 74.713 -133.0437
287.109375 74.684 -133.5498
287.475586 74.679 -134.0740
287.841797 74.688 -134.7649
288.208008 74.688 -135.6736
288.574219 74.656 -136.7051
288.940430 74.589 -137.6802
289.306641 74.508 -138.4656
289.672852 74.442 -139.0820
290.039062 74.409 -139.7024
290.405273 74.398 -140.5200
290.771484 74.377 -141.5928
291.137695 74.324 -142.8010
291.503906 74.234 -143.9395
291.870117 74.133 -144.8740
292.236328 74.048 -145.6426
292.602539 73.991 -146.4214
292.968750 73.946 -147.3672
293.334961 73.883 -148.4790
293.701172 73.784 -149.5923
294.067383 73.657 -150.5063
294.433594 73.533 -151.1440
294.799805 73.439 -151.6240
295.166016 73.378 -152.1743
295.532227 73.322 -152.9463
295.898438 73.236 -153.8943
296.264648 73.102 -154.8096
296.630859 72.932 -155.4648
296.997070 72.762 -155.7712
297.363281 72.624 -155.8455
297.729492 72.530 -155.9348
298.095703 72.458 -156.2456
298.461914 72.373 -156.8174
298.828125 72.247 -157.5244
299.194336 72.076 -158.1646
299.560547 71.874 -158.5657
299.926758 71.669 -158.6602
300.292969 71.487 -158.5059
300.659180 71.346 -158.2554
301.025391 71.243 -158.0891
301.391602 71.162 -158.1411
301.757812 71.076 -158.4458
302.124023 70.961 -158.9253
302.490234 70.805 -159.4189
302.856445 70.614 -159.7437
303.222656 70.409 -159.7764
