* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
225.219727 64.707 -11.6819
225.585938 64.889 -11.9116
225.952148 65.078 -12.8599
226.318359 65.197 -14.4048
226.684570 65.203 -16.1096
227.050781 65.110 -17.4612
227.416992 64.977 -18.1313
227.783203 64.880 -18.1597
228.149414 64.865 -17.9131
228.515625 64.920 -17.7966
228.881836 64.998 -17.9614
229.248047 65.065 -18.2852
229.614258 65.121 -18.5742
229.980469 65.188 -18.7683
230.346680 65.280 -18.9817
230.712891 65.388 -19.3640
231.079102 65.488 -19.9414
231.445312 65.561 -20.5945
231.811523 65.614 -21.1770
232.177734 65.667 -21.6541
232.543945 65.732 -22.1228
232.910156 65.798 -22.6946
233.276367 65.844 -23.3496
233.642578 65.859 -23.9138
234.008789 65.863 -24.1914
234.375000 65.898 -24.1589
234.741211 66.000 -24.0579
235.107422 66.163 -24.2632
235.473633 66.338 -25.0083
235.839844 66.460 -26.2134
236.206055 66.494 -27.5264
236.572266 66.446 -28.5068
236.938477 66.371 -28.8521
237.304688 66.343 -28.5859
237.670898 66.412 -28.0852
238.037109 66.573 -27.8499
238.403320 66.770 -28.1748
238.769531 66.941 -29.0083
239.135742 67.051 -30.0591
239.501953 67.109 -31.0120
239.868164 67.152 -31.7180
240.234375 67.219 -32.2764
240.600586 67.318 -32.9429
240.966797 67.423 -33.9219
241.333008 67.491 -35.1990
241.699219 67.493 -36.5352
242.065430 67.432 -37.5974
242.431641 67.352 -38.1433
242.797852 67.310 -38.1816
243.164062 67.351 -37.9995
243.530273 67.475 -38.0002
243.896484 67.641 -38.4551
244.262695 67.798 -39.3792
244.628906 67.910 -40.5833
244.995117 67.970 -41.8154
245.361328 67.994 -42.8877
245.727539 68.009 -43.7466
246.093750 68.034 -44.4617
246.459961 68.073 -45.1516
246.826172 68.116 -45.8909
247.192383 68.151 -46.6692
247.558594 68.175 -47.4192
247.924805 68.195 -48.0876
248.291016 68.226 -48.6941
248.657227 68.272 -49.3330
249.023438 68.329 -50.1140
249.389648 68.379 -51.0854
249.755859 68.404 -52.2039
250.122070 68.397 -53.3618
250.488281 68.360 -54.4465
250.854492 68.307 -55.3884
251.220703 68.250 -56.1719
251.586914 68.201 -56.8196
251.953125 68.170 -57.3774
252.319336 68.161 -57.9185
252.685547 68.175 -58.5452
253.051758 68.199 -59.3528
253.417969 68.207 -60.3601
253.784180 68.177 -61.4551
254.150391 68.101 -62.4148
254.516602 67.998 -63.0144
254.882812 67.913 -63.1790
255.249023 67.888 -63.0793
255.615234 67.933 -63.0544
255.981445 68.017 -63.3833
256.347656 68.090 -64.1042
256.713867 68.118 -65.0261
257.080078 68.097 -65.8845
257.446289 68.052 -66.5127
257.812500 68.013 -66.9182
258.178711 67.992 -67.2214
258.544922 67.986 -67.5220
258.911133 67.984 -67.8186
259.277344 67.988 -68.0566
259.643555 68.012 -68.2375
260.009766 68.064 -68.4668
260.375977 68.137 -68.8779
260.742188 68.204 -69.5076
261.108398 68.246 -70.2456
261.474609 68.263 -70.9163
261.840820 68.277 -71.4192
262.207031 68.312 -71.8135
262.573242 68.372 -72.2639
262.939453 68.439 -72.8875
263.305664 68.486 -73.6409
263.671875 68.503 -74.3535
264.038086 68.506 -74.8655
264.404297 68.525 -75.1643
264.770508 68.581 -75.4070
265.136719 68.668 -75.8047
265.502930 68.760 -76.4651
265.869141 68.826 -77.3323
266.235352 68.856 -78.2466
266.601562 68.855 -79.0505
266.967773 68.844 -79.6658
267.333984 68.842 -80.1099
267.700195 68.864 -80.4690
268.066406 68.914 -80.8601
268.432617 68.985 -81.3940
268.798828 69.061 -82.1377
269.165039 69.121 -83.0708
269.531250 69.149 -84.0754
269.897461 69.149 -84.9819
270.263672 69.142 -85.6694
270.629883 69.158 -86.1633
270.996094 69.214 -86.6423
271.362305 69.301 -87.3184
271.728516 69.389 -88.2800
272.094727 69.446 -89.4341
272.460938 69.466 -90.5867
272.827148 69.463 -91.5842
273.193359 69.461 -92.4111
273.559570 69.475 -93.1707
273.925781 69.501 -93.9749
274.291992 69.526 -94.8494
274.658203 69.544 -95.7427
275.024414 69.562 -96.6174
275.390625 69.585 -97.5144
275.756836 69.612 -98.5161
276.123047 69.624 -99.6416
276.489258 69.608 -100.7852
276.855469 69.569 -101.7769
277.221680 69.535 -102.5295
277.587891 69.538 -103.1538
277.954102 69.586 -103.9104
278.320312 69.647 -105.0078
278.686523 69.677 -106.4263
279.052734 69.646 -107.9197
279.418945 69.562 -109.1775
279.785156 69.463 -110.0237
280.151367 69.395 -110.5303
280.517578 69.375 -110.9453
280.883789 69.389 -111.4880
281.250000 69.406 -112.1992
281.616211 69.412 -112.9741
281.982422 69.411 -113.7109
282.348633 69.419 -114.4182
282.714844 69.439 -115.1943
283.081055 69.457 -116.1138
283.447266 69.459 -117.1440
283.813477 69.440 -118.1787
284.179688 69.410 -119.1433
284.545898 69.386 -120.0671
284.912109 69.368 -121.0447
285.278320 69.346 -122.1230
285.644531 69.307 -123.2358
286.010742 69.257 -124.2612
286.376953 69.218 -125.1592
286.743164 69.212 -126.0571
287.109375 69.233 -127.1743
287.475586 69.247 -128.6248
287.841797 69.214 -130.2849
288.208008 69.121 -131.8450
288.574219 68.999 -133.0115
288.940430 68.904 -133.7397
289.306641 68.881 -134.3206
289.672852 68.922 -135.1851
290.039062 68.970 -136.5693
290.405273 68.964 -138.3494
290.771484 68.873 -140.1528
